0,1,2
<p>w/ Merce Lemon &amp; Saddle Geese</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
,{music},{}
<p>music at 9PM</p>,{music},{}
<p>w/ Willy Tea Taylor</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
"<p>We are happy to present Jeffrey Todd, performing in front of Phillip Corner's <em>Metal Meditations</em>&nbsp;which was used by Jeffrey in his composition. Come join us for a wonderful evening of sound!</p>","{music,gallery}",{}
"<p><em>Longyear Lecture, Division of Musicology and Ethnomusicology</em></p><p><br></p><p><strong>WHY MAKE MUSIC WITH NATURE?</strong></p><p><strong>David Rothenberg</strong>&nbsp;has long been interested in the musicality of sounds made by inhabitants of the animal world. He has jammed live with lyrebirds, broadcast his clarinet underwater for humpback whales, and covered himself in thirteen-year cicadas to wail away inside a wash of white noise.</p><p>Rothenberg presents a musical trajectory through several of his favorite species, revealing their distinct and evolved aesthetic senses in an attempt to show that music can reach across species lines, from human to animal, and back. Creatures whose musical worlds we will enter include the thrush nightingale, humpback whale, three-humped treehopper, snowy tree cricket, seventeen-year cicada, white-crested laughing thrush, superb lyrebird, European marsh warbler, lesser water boatman and the mountain pine bark beetle.</p><hr><p>Bio: </p><p>Musician and philosopher&nbsp;<strong>David Rothenberg</strong>&nbsp;is the author of&nbsp;Why Birds Sing&nbsp;(Basic Books and Penguin UK), also published in Italy, Spain, Taiwan, China, Korea, and Germany. In 2006 it was turned into a feature-length&nbsp;<a href=""https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fvimeo.com%2F511347786&amp;data=05%7C01%7CLance.Brunner%40uky.edu%7C321958e583634a94b84708db2ec19bbb%7C2b30530b69b64457b818481cb53d42ae%7C0%7C0%7C638155181315485191%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=LxySl1A8ZDNSAFEvjsH4RA547ogVJR6ev%2BIUYqW1fdo%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 51, 160);""><strong>TV documentary</strong></a>&nbsp;by the BBC.&nbsp;Rothenberg has also written&nbsp;Sudden Music,&nbsp;Blue Cliff Record,&nbsp;Hand’s End, and Always the Mountains.&nbsp;His writings have appeared in at least eleven languages.&nbsp;His latest book&nbsp;<a href=""https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.terranovapress.com%2Fbooks%2Fwhale-music-thousand-mile-songs-in-a-sea-of-sound&amp;data=05%7C01%7CLance.Brunner%40uky.edu%7C321958e583634a94b84708db2ec19bbb%7C2b30530b69b64457b818481cb53d42ae%7C0%7C0%7C638155181315640405%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=QRLNWNbiVq16zurXQ4p7iXlvNxBdEARwFwBranqLa0o%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 51, 160);""><strong>Whale Music</strong></a>&nbsp;(Terra Nova/MIT Press), about making music with whales, comes out in February 2023</p><p>Rothenberg is distinguished professor of philosophy and music at the New Jersey Institute of Technology.&nbsp;</p><p><a href=""https://nam04.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.davidrothenberg.net%2F&amp;data=05%7C01%7CLance.Brunner%40uky.edu%7C321958e583634a94b84708db2ec19bbb%7C2b30530b69b64457b818481cb53d42ae%7C0%7C0%7C638155181315796657%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=TrCmJTxX9HTL5%2BUh9vixzwbo%2BfdvXlzzjQXM3PmlKOc%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 51, 160);""><strong>www.davidrothenberg.net</strong></a></p>","{talk,music}",{}
"<p><span style=""color: rgb(5, 5, 5);"">We’ve got a huge kick off party with a wonderful performance from Bee Taylor! Friday night! come on out for an evening like no other!</span></p>",{music},{}
"<p><span style=""color: rgb(5, 5, 5);"">We’ve got a massive album release with Shawnthony Calypso!!!! They’ll be jamming down Saturday night to bring June in with a bang! They’ll be joined by The Clap, Tides, &amp; DJ Best Western! </span></p>",{music},{}
"<p>Come out to Brick Oven Pizzeria and Pub for good food, good music, and lots of fun!</p>",{music},{}
"<p>21+</p><p><span style=""color: rgb(5, 5, 5);"">""The Baja Yetis serve up a funk based soul stew that is sure to get you up on your feet and take you to your happy place!""</span></p>",{music},{}
<p>Indoor show</p><p>18+</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
"<p>Superfecta Band, one of the Southeast's premier professional events band. Based in Lexington, Kentucky and founded in 2007, Superfecta quickly evolved into The region's most celebrated high-energy dance and party band. Superfecta has been the featured entertainment for countless weddings, corporate functions, fundraisers, festivals, Kentucky Derby events, and many State events including headlining Derby Parties at the Governor's Mansion and the Kentucky Governor's Inaugural Ball in 2012 and 2020.</p>",{music},{}
<p>The UK Dance Ensemble: Fall Show 2023 in the SCFA Recital Hall.</p><p>General Admission.</p>,{dance},{}
"<p><span style=""color: rgb(5, 5, 5);"">Come join our friends Casen &amp; Snazzy D of Restless Leg String Band for an afternoon of live music!</span></p>",{music},{}
"<p>Join us on Zoom for a virtual discussion with 2nd Story exhibiting artist Israel Campos, in conversation with a distinguished slate of panelists, including Dr. Martina Ayala, Professor Emeritus Jim Escalante, and Dr. Jennifer Gonzales. </p><p><br></p><p>This discussion will center around the historical legacies and present-day cultural concerns embedded within Israel Campos’ work. Specifically, the program will dive into the ways in which the artist merges ancient Mesoamerican glyphs and contemporary Chicano/a body styling; his thoughts about representation, particularly in regards to gender and queerness; how spatial contexts determine his material choices and narrative strategies; and the disproportional impact of climate change on Latinx communities, among other topics.</p><p><br></p><p class=""ql-align-center""><strong>Monday, June 3 | 5:00 to 6:00 PM</strong></p><p class=""ql-align-center""><a href=""https://zoom.us/j/95909160166"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>Click to join</strong></a><strong>: </strong><a href=""https://zoom.us/j/95909160166"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>https://zoom.us/j/95909160166</strong></a> </p><p><br></p><p>---</p><p><br></p><p><strong>PANELIST BIOS</strong></p><p><a href=""https://www.martinalalatina.com/"" rel=""noopener noreferrer"" target=""_blank"">Dr.Martina Ayala</a> is currently the Executive Director for the <a href=""https://missionculturalcenter.org/"" rel=""noopener noreferrer"" target=""_blank"">Mission Cultural Center for Latino Arts</a>.&nbsp;She is a curator, educator, filmmaker, and visionary leader. For over 35 years, she has curated art exhibits, produced concerts and cultural events, and led innovative programs, schools, and organizations serving inter-generational multicultural communities.&nbsp;</p><p>As a scholar and activist with a Doctorate in International and Multicultural Education from the University of San Francisco, her life’s work has focused on Chicano cinema, community, literacy, and spirituality. She is currently committed to preserving, developing, and promoting Latin American and Chicano(a) art history, specifically protecting the print poster archives created by Latinx artists at Mission Cultural Center for Latino Arts (MCCLA) over the past 46 years. As a transformative leader and coach, she supports folks seeking to understand their purpose and truth.</p><p><br></p><p><a href=""https://%20https//www.israelcampos.art"" rel=""noopener noreferrer"" target=""_blank"">Israel Campos</a> is an interdisciplinary, queer, L.A.-based artist that works with paintings, print media, digital media, and artist books. His work embraces the art tradition from Mesoamerica to explore how historical events are interconnected and reverberate into the present.</p><p>Israel graduated with a bachelors from the University of California Santa Cruz in 2011 and acquired an MFA from the University of Wisconsin‐Madison in 2015. His work is in the permanent collections of the Kohler Art Library, the UCSC Digital Art Research Center, the Zuckerman Museum of Art, and the Oregon College of Art and Craft. He has exhibited in venues across the country, including the ArtHelix Gallery in New York City, the Ronna and Eric Hoffman Gallery of Contemporary Art in Portland and is an active member of the Vox Pop printmaking artist collective and the California Society of Printmakers. He also runs and operates Chayote Press.</p><p><br></p><p><a href=""http://jimescalante.com/"" rel=""noopener noreferrer"" target=""_blank"">Jim Escalante</a> is an artist and professor emeritus from the University of Wisconsin-Madison, where he taught graphic design, artists books and photography for 30 years. In addition to teaching, he served as Department Chair of the Department of Art, as well as the Director of Chicano/a Studies in the early 1990s and finally as an Associate Dean for Faculty.&nbsp;</p><p>He earned a Bachelor of Fine Arts degree in Photography from North Texas State University and a Master of Fine Arts with a focus in Typography and Photography from the University of Wisconsin – Madison. He established Iguana Press, a fine press, in 1978 which is dedicated to making books that combine letterpress printing with hand papermaking and traditional book binding. The ability to collaborate with artists and writers has been central to his creative work in design, book printing and photography.</p><p><br></p><p class=""ql-align-justify""><a href=""https://havc.ucsc.edu/faculty/jennifer-gonz%C3%A1lez"" rel=""noopener noreferrer"" target=""_blank"">Dr. Jennifer A. González</a> is Professor of History of Art and Visual Culture at the University of California, Santa Cruz, and a faculty member in the Whitney Museum Independent Study Program, New York. Her research engages theoretical discourses of feminism, diaspora, and decoloniality in contemporary art.</p><p>She has articles in numerous scholarly journals such as, Camera Obscura, Art Journal, and Aztlán and has published several books, including, Subject to Display: Reframing Race in Contemporary Installation Art and Chicano and Chicana Art: A Critical Anthology which was included in the top art books of the decade in 2020 by ArtNews magazine.</p>","{gallery,talk}",{}
"<p>Featuring:</p><ul><li>Tim Mars</li><li>Roy Haber</li><li>Rich Ragains</li><li>Madison Pohl</li></ul><p><strong><em>TICKETS ARE NON-REFUNDABLE - ALL SALES ARE FINAL</em></strong></p><p>Doors open 30 minutes prior to the show</p><p>All shows are 18 and up with ID</p><p>One Drink Minimum, Must be 21 with valid ID to purchase alcohol.</p>",{comedy},{}
<p>Doors at 7pm</p><p>Music at 9pm</p>,"{music,holiday}",{}
"<p>Live bands, food trucks, casino, wine tasting, beer garden, raffle items, kids' games with prizes, bouncy houses, Kona ice, and more!</p>",{festival},{}
"<p>Whether we're your first or last stop during Art Hop, we've got just what you need to enhance your evening, with our infused cocktails (or mocktails), 16 featured artists, live music &amp; FREE parking!</p>",{music},{}
"<p>See website for COVID requirements, if any</p><p>(Beginner lesson 7:30-8:00 PM)</p><p>Information: 859-552-5433 or website</p><p>Lexington Traditional Dance Association</p>",{dance},{}
<p>w/ Carriers</p><p><em>OUTDOOR SHOW</em></p><p>All ages</p><p>Doors 6:30 PM</p>,{music},{}
"<p>Brian Bates is a Nashville based comedian who tours the country performing at comedy clubs, theaters, corporate events, and churches. You may have seen his Dry Bar Comedy specials or heard him as a guest on The Grand Ole Opry.</p><p>He can also be heard regularly on LaughUSA on SiriusXM radio. When not on the road, Brian joins fellow comedians Nate Bargatze, Aaron Weber and Dusty Slay as one of the hosts of the <em>NateLand Podcast</em>, which is heard by thousands of listeners each week.</p><p><strong><em>TICKETS ARE NON-REFUNDABLE - ALL SALES ARE FINAL</em></strong></p><p>Doors open 30 minutes prior to the show</p><p>All shows are 18 and up with ID</p><p>One Drink Minimum, Must be 21 with valid ID to purchase alcohol.</p>",{comedy},{}
"<p>Tap your toes and sing along in this splashy adaptation of the world's most celebrated movie musical!</p><p><em>Singin' in the Rain, JR.</em> has all the makings of a Tinseltown tabloid headline — the starlet, the leading man and a love affair that could change lives and make or break careers! In silent movies, Don Lockwood and Lina Lamont are a hot item, but behind the scenes, things aren't always as they appear on the big screen! Meanwhile, Lina's squeaky voice might be the end of her career in ""talking pictures"" without the help of a talented young actress to do the talking and singing for her.</p><p><em>Singin' in the Rain JR</em> is performed by a talented cast of young performers, making this a show you won't want to miss! </p><p>This show is directed by Ellie Miller and music directed by Steve Crosby.</p>","{theater,music}",{}
<p>w/ Boa Boys &amp; Madelyn Baier</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
"<p>Spotlight Acting School proudly presents its rendition of <em>Elf the Musical JR.</em>, a heartwarming and delightful production performed by talented students aged 9-14. Under the expert direction of Sarah Jeck, Jazzlyn Threlkeld, and Kelly Fischer, the young actors bring to life the enchanting tale of Buddy the Elf and his adventures in New York City. The dedication and passion of the cast and crew promise an unforgettable theatrical experience for audiences of all ages.</p>","{theater,music}",{}
<p>w/ Mama Said String Band</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
"<p>UK School of Music Piano Studio Presents: Piano Ensemble Concert in Collaboration with the Department of Classical &amp; Modern Languages an ""Evening of Poetry and Music.""</p>",{music},{}
"<p>For nearly four decades, <a href=""https://www.stilljournal.net/jack-wright-interview.php"" rel=""noopener noreferrer"" target=""_blank"">Jack</a> has contributed to the story of Appalachia through his varied media contributions as a documentarian, oral historian, teacher, actor, musician, and archivist, among other things.</p><p><em>Part of the Appalachia in the Bluegrass Series</em></p>",{music},{}
<p>18 and up </p><p>Doors 7:00PM Show 8:00PM</p><p><br></p>,{music},{}
